,City,Cloudiness,Country,Date(YYYY-MM-DD),Humidity,Lat,Lng,Max Temp,Wind Speed
366,filingue,95,NE,2020-01-08,17,14.35,3.32,72.32,11.97
367,lere,0,TD,2020-01-08,26,9.66,14.23,71.96,6.69
368,gamba,0,CN,2020-01-07,66,28.28,88.52,10.60,3.44
369,aksu,97,KZ,2020-01-08,81,52.04,76.93,5.14,3.51
370,birstonas,11,LT,2020-01-08,85,54.62,24.03,32.94,8.77
371,boende,92,CD,2020-01-08,79,-0.28,20.88,75.33,3.15
372,souillac,100,FR,2020-01-08,94,45.60,-0.60,50.32,6.4
373,tabou,2,CI,2020-01-08,87,4.42,-7.36,74.46,3.53
374,centralia,100,US,2020-01-08,94,46.72,-122.96,49.95,8.23
375,lensk,100,RU,2020-01-08,93,60.71,114.91,17.49,12.33
376,conakry,0,GN,2020-01-07,67,9.52,-13.70,77.74,5.57
377,dunhua,100,CN,2020-01-08,95,43.37,128.23,14.95,1.81
378,yazykovo,13,RU,2020-01-08,95,54.30,47.38,9.48,3.04
379,bandarbeyla,100,SO,2020-01-07,73,9.49,50.81,78.91,17.72
380,kavaratti,59,IN,2020-01-07,74,10.57,72.64,81.99,10.27
381,meulaboh,98,ID,2020-01-08,77,4.14,96.13,79.93,6.8
382,talara,9,PE,2020-01-08,88,-4.58,-81.27,72.23,11.03
383,kruisfontein,99,ZA,2020-01-08,95,-34.00,24.73,65.73,5.53
384,kuruman,100,ZA,2020-01-08,76,-27.46,23.43,68.94,9.19
385,kununurra,100,AU,2020-01-08,63,-15.77,128.74,85.84,8.77
386,tornio,100,FI,2020-01-08,90,61.12,27.27,37.92,11.41
387,wajima,100,JP,2020-01-07,90,37.40,136.90,51.51,10.69
388,vardo,100,US,2020-01-08,96,39.62,-77.74,31.57,7.61
389,tallahassee,14,US,2020-01-08,54,30.44,-84.28,54.23,5.91
390,urubamba,75,PE,2020-01-08,66,-13.31,-72.12,61.27,5.48
391,havoysund,100,NO,2020-01-07,79,71.00,24.66,38.12,14.25
392,acuitzio,73,MX,2020-01-08,24,20.34,-101.98,63.84,8.08
393,toamasina,100,MG,2020-01-08,82,-18.17,49.38,80.78,6.64
394,alihe,0,CN,2020-01-08,91,50.57,123.73,-2.51,3.98
395,tvoroyri,98,FO,2020-01-08,70,61.56,-6.81,38.52,51.47
396,kingman,16,US,2020-01-08,41,35.19,-114.05,53.65,1.5
397,peniche,0,PT,2020-01-08,76,39.36,-9.38,55.74,12.15
398,manali,100,IN,2020-01-08,97,32.25,77.19,27.50,4.54
399,hirara,0,JP,2020-01-07,78,24.80,125.28,73.15,7.96
400,nicoya,2,CR,2020-01-08,71,10.15,-85.45,75.07,8.86
401,gizo,45,IL,2020-01-08,68,31.80,34.94,48.20,15.41
402,rockport,0,US,2020-01-08,48,28.02,-97.05,64.53,11.27
403,belmonte,0,PT,2020-01-07,57,40.36,-7.35,40.42,1.66
404,shellbrook,0,CA,2020-01-08,93,53.22,-106.39,-15.14,2.17
405,pochutla,0,MX,2020-01-08,69,15.74,-96.47,82.96,13.27
406,russell,0,US,2020-01-08,49,38.90,-98.86,45.79,1.01
407,gambo,45,CF,2020-01-08,37,4.65,22.26,72.07,4.45
408,huarmey,50,PE,2020-01-08,72,-10.07,-78.15,71.46,6.71
409,kiunga,100,PG,2020-01-08,99,-6.12,141.30,73.89,2.35
410,escanaba,46,US,2020-01-08,71,45.75,-87.06,24.39,27.22
411,fare,8,PF,2020-01-08,79,-16.70,-151.02,82.24,19.24
412,gayny,97,RU,2020-01-08,98,60.30,54.33,6.66,4.74
413,kant,100,KG,2020-01-08,96,42.89,74.85,24.46,3.76
414,fort-shevchenko,100,KZ,2020-01-08,65,44.51,50.26,34.25,17.0
415,sardulgarh,82,IN,2020-01-08,96,29.70,75.25,51.78,3.02
416,zalesovo,100,RU,2020-01-08,95,54.00,84.74,7.21,2.48
417,khani,88,GE,2020-01-07,48,41.96,42.96,43.72,8.59
418,gladstone,71,AU,2020-01-08,63,-23.84,151.26,80.74,11.95
419,paragominas,31,BR,2020-01-08,89,-3.00,-47.35,72.93,2.46
420,erie,98,US,2020-01-08,84,42.13,-80.09,33.89,7.54
421,alyangula,100,AU,2020-01-08,62,-13.85,136.42,89.42,13.6
422,mogok,0,MM,2020-01-08,73,22.92,96.51,53.29,3.33
423,mazatlan,8,MX,2020-01-08,65,23.22,-106.42,77.05,17.18
424,pisco,12,PE,2020-01-08,90,-13.71,-76.20,66.74,3.78
425,cherskiy,0,RU,2020-01-08,74,68.75,161.30,-19.37,8.99
426,noyabrsk,41,RU,2020-01-08,98,63.20,75.45,-3.95,12.17
427,aracati,18,BR,2020-01-08,83,-4.56,-37.77,78.55,5.55
428,maicao,0,CO,2020-01-08,65,11.38,-72.24,83.12,9.33
429,progreso,0,UY,2020-01-08,29,-34.68,-56.22,71.26,5.14
430,fallon,100,US,2020-01-08,74,46.84,-105.12,23.47,11.63
431,iwanai,100,JP,2020-01-08,76,42.97,140.51,27.50,6.4
432,plouzane,100,FR,2020-01-08,92,48.38,-4.62,54.32,13.65
433,luganville,96,VU,2020-01-08,73,-15.51,167.18,86.36,6.8
434,turukhansk,93,RU,2020-01-08,96,65.80,87.96,0.03,10.65
435,bashmakovo,0,RU,2020-01-08,95,53.21,43.04,10.92,1.14
436,ovsyanka,8,RU,2020-01-08,95,53.58,126.91,-15.59,0.31
437,komsomolskiy,99,RU,2020-01-08,96,67.55,63.78,2.52,7.9
438,at-bashi,98,KG,2020-01-08,96,41.17,75.81,-4.16,2.21
439,arona,29,IT,2020-01-08,48,45.76,8.56,33.49,4.97
440,ust-ilimsk,93,RU,2020-01-08,95,57.96,102.73,13.73,5.66
